player_name,game_date,season,inning,at_bat_number,pitch_number,release_speed,release_spin_rate,pfx_x,pfx_z,release_extension,balls,strikes
"Alcantara, Sandy",2019-04-06,2019,1,7,3,95.4,2346,-0.9,1.13,5.7,1,1
"Alcantara, Sandy",2019-04-06,2019,1,7,1,96.7,2305,-0.67,1.21,5.8,0,0
"Alcantara, Sandy",2019-04-06,2019,1,6,1,93.2,2283,-0.76,1.18,5.6,0,0
"Alcantara, Sandy",2019-04-06,2019,1,5,3,93.7,2291,-0.71,1.27,6,1,1
"Alcantara, Sandy",2019-04-06,2019,1,5,2,91.5,2230,-0.46,1.36,6.1,1,0
"Alcantara, Sandy",2019-04-06,2019,1,5,1,93.8,2081,-0.45,1.1,5.5,0,0
"Alcantara, Sandy",2019-04-06,2019,1,4,7,94.5,2158,-0.42,1.1,5.3,3,2
"Alcantara, Sandy",2019-04-06,2019,1,4,6,96.5,2192,-0.52,1.34,5.3,2,2
"Alcantara, Sandy",2019-04-06,2019,1,4,5,96.4,2155,-0.61,1.3,5.3,2,2
"Alcantara, Sandy",2019-04-06,2019,1,4,3,98.7,2182,-0.74,1.18,5.6,0,2
"Alcantara, Sandy",2019-04-06,2019,1,4,2,96.2,2177,-0.69,1.02,5.8,0,1
