player_name,game_date,season,pitch_type,inning,at_bat_number,pitch_number,release_speed,release_spin_rate,pfx_x,pfx_z,release_extension,balls,strikes
"Cole, Gerrit",2019-03-29,2019,FF,4,32,1,95.8,2533,-1,1.57,6.1,0,0
"Cole, Gerrit",2019-03-29,2019,SL,4,31,4,88.8,2567,0.46,0.45,6,2,1
"Cole, Gerrit",2019-03-29,2019,SL,4,31,3,88.5,2556,0.48,0.47,5.8,2,0
"Cole, Gerrit",2019-03-29,2019,FF,4,31,2,95.2,2425,-0.73,1.72,6.3,1,0
"Cole, Gerrit",2019-03-29,2019,SL,4,31,1,88.7,2656,0.21,0.57,5.8,0,0
"Cole, Gerrit",2019-03-29,2019,SL,3,27,2,88,2625,0.38,0.23,5.8,0,1
"Cole, Gerrit",2019-03-29,2019,FF,3,27,1,96.5,2486,-0.89,1.68,6.1,0,0
"Cole, Gerrit",2019-03-29,2019,KC,3,26,4,81.6,2961,1.34,-1.32,5.7,2,1
"Cole, Gerrit",2019-03-29,2019,FF,3,26,3,98.4,2655,-0.87,1.75,6.4,1,1
"Cole, Gerrit",2019-03-29,2019,KC,3,26,2,81.8,3133,1.52,-0.96,5.3,1,0
"Cole, Gerrit",2019-03-29,2019,FF,3,26,1,96.4,2535,-1.02,1.7,6.2,0,0
"Cole, Gerrit",2019-03-29,2019,KC,3,25,4,83.7,3151,1.62,-1.09,5.7,0,2
"Cole, Gerrit",2019-03-29,2019,KC,3,25,3,84.3,3108,1.26,-1.28,5.8,0,2
"Cole, Gerrit",2019-03-29,2019,FF,3,25,2,98.2,2456,-0.93,1.4,6.1,0,1
"Cole, Gerrit",2019-03-29,2019,SL,3,25,1,88.5,2534,0.32,0.43,5.7,0,0
"Cole, Gerrit",2019-03-29,2019,FF,3,24,6,99.2,2599,-1.12,1.5,6.4,3,2
"Cole, Gerrit",2019-03-29,2019,SL,3,24,5,90.1,2831,0.54,0.39,5.8,2,2
"Cole, Gerrit",2019-03-29,2019,FF,3,24,4,97,2500,-1.13,1.55,6.5,1,2
"Cole, Gerrit",2019-03-29,2019,SI,3,24,3,98,2464,-1.33,1.33,6.2,0,2
"Cole, Gerrit",2019-03-29,2019,FF,3,24,2,97.9,2650,-1.09,1.61,6.1,0,1
"Cole, Gerrit",2019-03-29,2019,FF,3,24,1,95.5,2544,-0.96,1.84,6.7,0,0
"Cole, Gerrit",2019-03-29,2019,FF,3,23,2,97.2,2569,-1.3,1.49,6.2,0,1
"Cole, Gerrit",2019-03-29,2019,KC,3,23,1,80.9,3038,1.32,-1.28,6,0,0
"Cole, Gerrit",2019-03-29,2019,FF,3,22,2,97.1,2468,-0.84,1.45,6.1,1,0
"Cole, Gerrit",2019-03-29,2019,SL,3,22,1,89.1,2700,0.38,0.77,5.9,0,0
"Cole, Gerrit",2019-03-29,2019,SL,3,21,5,89.1,2548,0.37,0.27,5.7,1,2
"Cole, Gerrit",2019-03-29,2019,SL,3,21,4,86.1,2529,0.56,0.29,5.9,0,2
"Cole, Gerrit",2019-03-29,2019,FF,3,21,3,97.8,2497,-0.84,1.67,6.2,0,2
"Cole, Gerrit",2019-03-29,2019,FF,3,21,2,95.4,2402,-0.96,1.67,6.2,0,1
"Cole, Gerrit",2019-03-29,2019,FF,3,21,1,95.2,2384,-0.84,1.63,6.2,0,0
"Cole, Gerrit",2019-03-29,2019,KC,3,20,1,82.2,2866,1.1,-1.28,5.3,0,0
"Cole, Gerrit",2019-03-29,2019,FF,2,14,6,98.5,2476,-0.73,1.56,6.3,3,2
"Cole, Gerrit",2019-03-29,2019,FF,2,14,5,96,2426,-0.71,1.62,6.3,3,1
"Cole, Gerrit",2019-03-29,2019,FF,2,14,4,95.6,2365,-0.7,1.56,6.4,3,0
"Cole, Gerrit",2019-03-29,2019,FF,2,14,3,96.4,2439,-0.61,1.65,6.6,2,0
"Cole, Gerrit",2019-03-29,2019,KC,2,14,2,81.8,2739,1.06,-1.13,5.9,1,0
"Cole, Gerrit",2019-03-29,2019,FF,2,14,1,96.4,2366,-0.67,1.48,6.7,0,0
"Cole, Gerrit",2019-03-29,2019,FF,2,13,4,98.2,2457,-0.76,1.55,6.1,1,2
"Cole, Gerrit",2019-03-29,2019,FF,2,13,3,97.4,2593,-1.26,1.47,6.8,1,1
"Cole, Gerrit",2019-03-29,2019,SL,2,13,2,89.2,2637,0.27,0.5,5.9,1,0
"Cole, Gerrit",2019-03-29,2019,FF,2,13,1,96.7,2741,-1.13,1.75,5.9,0,0
"Cole, Gerrit",2019-03-29,2019,FF,2,12,4,97.1,2588,-1.01,1.76,6.1,1,2
"Cole, Gerrit",2019-03-29,2019,KC,2,12,3,80.1,2883,1.33,-1.16,5.8,1,1
"Cole, Gerrit",2019-03-29,2019,FF,2,12,2,95.9,2555,-1.18,1.78,6.1,0,1
"Cole, Gerrit",2019-03-29,2019,FF,2,12,1,95,2523,-0.93,1.96,6.1,0,0
"Cole, Gerrit",2019-03-29,2019,FF,1,6,2,97.2,2567,-0.96,1.47,6.2,0,1
"Cole, Gerrit",2019-03-29,2019,FF,1,6,1,97.3,2501,-0.99,1.6,6.2,0,0
"Cole, Gerrit",2019-03-29,2019,SL,1,5,5,88.8,2582,0.46,0.31,5.6,2,2
"Cole, Gerrit",2019-03-29,2019,FF,1,5,4,97.8,2573,-1.01,1.63,6.3,1,2
"Cole, Gerrit",2019-03-29,2019,FF,1,5,3,98,2603,-0.95,1.6,6.3,0,2
"Cole, Gerrit",2019-03-29,2019,FF,1,5,2,96.4,2547,-1.13,1.58,6.3,0,1
"Cole, Gerrit",2019-03-29,2019,FF,1,5,1,95.7,2475,-0.98,1.62,6.5,0,0
"Cole, Gerrit",2019-03-29,2019,FF,1,4,8,97,2519,-0.77,1.69,6.3,3,2
"Cole, Gerrit",2019-03-29,2019,FF,1,4,7,97.3,2524,-0.94,1.71,6.1,3,2
"Cole, Gerrit",2019-03-29,2019,KC,1,4,6,83.5,2847,1.03,-1.12,5.5,2,2
"Cole, Gerrit",2019-03-29,2019,SL,1,4,5,89.8,2598,0.23,0.56,5.8,2,2
"Cole, Gerrit",2019-03-29,2019,FF,1,4,4,96.3,2566,-0.97,1.75,6.1,2,1
"Cole, Gerrit",2019-03-29,2019,SL,1,4,3,88.5,2571,0.07,0.6,6,1,1
"Cole, Gerrit",2019-03-29,2019,SI,1,4,2,96.7,2680,-1.51,1.49,6,0,1
"Cole, Gerrit",2019-03-29,2019,FF,1,4,1,96.2,2574,-0.99,1.89,6,0,0
"Cole, Gerrit",2019-04-09,2019,KC,7,54,5,81.3,2919,1.58,-0.93,5.7,0,2
"Cole, Gerrit",2019-04-09,2019,FF,7,54,4,96,2531,-0.86,1.46,6.2,0,2
"Cole, Gerrit",2019-04-09,2019,FF,7,54,3,96.8,2438,-0.8,1.61,6.2,0,2
"Cole, Gerrit",2019-04-09,2019,SL,7,54,2,84.7,2643,0.51,-0.09,5.7,0,1
"Cole, Gerrit",2019-04-09,2019,KC,7,54,1,79.3,2752,0.97,-0.94,5.6,0,0
"Cole, Gerrit",2019-04-09,2019,KC,7,53,5,80.6,2911,1.13,-1.23,5.4,1,2
"Cole, Gerrit",2019-04-09,2019,FF,7,53,4,95.7,2512,-1.11,1.59,6,1,2
"Cole, Gerrit",2019-04-09,2019,KC,7,53,3,81.3,2782,1.16,-0.87,5.5,1,1
